model,experiment,ph,patient,metric,calculation,0
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE_eu,mean,0.156010781671159
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE_eu,std,0.0073331217566067
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE_hyper,mean,0.1683377308707124
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE_hyper,std,0.0049079354189283
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE_hypo,mean,0.0830985915492957
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE_hypo,std,0.008212608302599
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP,mean,0.0727404718693285
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP,std,0.0012489764453056
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP_eu,mean,0.04
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP_eu,std,0.0029408478052799
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP_hyper,mean,0.0427440633245382
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP_hyper,std,0.0037869921093423
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP_hypo,mean,0.6605633802816901
ar,DEC_8_2023,30,ohio_591,CG_EGA_EP_hypo,std,0.0378975325269681
ar,DEC_8_2023,30,ohio_591,MAPE,mean,13.833654602143437
ar,DEC_8_2023,30,ohio_591,MAPE,std,0.1993796287209226
ar,DEC_8_2023,30,ohio_591,MASE,mean,0.9356230736057528
ar,DEC_8_2023,30,ohio_591,MASE,std,0.0093540521926808
ar,DEC_8_2023,30,ohio_591,P_EGA_A,mean,0.8569147005444646
ar,DEC_8_2023,30,ohio_591,P_EGA_A,std,0.0064540430550687
ar,DEC_8_2023,30,ohio_591,P_EGA_A+B,mean,0.9675499092558985
